week_start,episode_count
2007-12-30,1
2008-01-06,4
2008-01-13,1
2008-01-20,2
2008-01-27,4
2008-02-03,3
2008-02-10,3
2008-02-17,1
2008-02-24,2
2008-03-02,2
2008-03-09,4
2008-03-16,1
2008-03-23,3
2008-03-30,1
2008-04-27,2
2008-05-04,2
2008-05-11,10
2008-05-18,1
2008-05-25,17
2008-06-01,5
2008-06-08,3
2008-06-15,2
2008-06-22,12
2008-06-29,32
2008-07-06,31
2008-07-13,25
2008-07-20,24
2008-07-27,37
2008-08-03,11
2008-08-10,3
2008-08-17,30
2008-08-24,46
2008-08-31,27
2008-09-07,13
2008-09-14,15
2008-09-21,16
2008-09-28,6
2008-10-05,10
2008-10-12,9
2008-10-19,8
2008-10-26,26
2008-11-02,8
2008-11-09,30
2008-11-16,32
2008-11-23,11
2008-11-30,25
2008-12-07,15
2008-12-14,31
2008-12-21,11
2008-12-28,58
2009-01-04,19
2009-01-11,23
2009-01-18,18
2009-01-25,14
2009-02-01,7
2009-02-08,28
2009-02-15,19
2009-02-22,33
2009-03-01,15
2009-03-08,47
2009-03-15,24
2009-03-22,49
2009-03-29,36
2009-04-05,24
2009-04-12,2
2009-04-19,34
2009-04-26,32
2009-05-03,18
2009-05-10,28
2009-05-17,25
2009-05-24,8
2009-05-31,30
2009-06-07,11
2009-06-14,26
2009-06-21,17
2009-06-28,31
2009-07-05,10
2009-07-12,16
2009-07-19,18
2009-07-26,25
2009-08-02,12
2009-08-09,6
2009-08-16,16
2009-08-23,18
2009-08-30,9
2009-09-06,15
2009-09-13,3
2009-09-20,31
2009-09-27,22
2009-10-04,24
2009-10-11,6
2009-10-18,25
2009-10-25,35
2009-11-01,34
2009-11-08,36
2009-11-15,12
2009-11-22,19
2009-11-29,28
2009-12-06,48
2009-12-13,24
2009-12-20,10
2009-12-27,31
2010-01-03,21
2010-01-10,38
2010-01-17,39
2010-01-24,29
2010-01-31,48
2010-02-07,23
2010-02-14,22
2010-02-21,19
2010-02-28,42
2010-03-07,37
2010-03-14,31
2010-03-21,27
2010-03-28,12
2010-04-04,18
2010-04-11,38
2010-04-18,42
2010-04-25,33
2010-05-02,27
2010-05-09,18
2010-05-16,29
2010-05-23,38
2010-05-30,25
2010-06-06,29
2010-06-13,40
2010-06-20,26
2010-06-27,22
2010-07-04,32
2010-07-11,24
2010-07-18,24
2010-07-25,25
2010-08-01,36
2010-08-08,35
2010-08-15,32
2010-08-22,23
2010-08-29,18
2010-09-05,17
2010-09-12,11
2010-09-19,22
2010-09-26,18
2010-10-03,23
2010-10-10,35
2010-10-17,32
2010-10-24,24
2010-10-31,21
2010-11-07,12
2010-11-14,18
2010-11-21,19
2010-11-28,33
2010-12-05,26
2010-12-12,47
2010-12-19,44
2010-12-26,70
2011-01-02,44
2011-01-09,81
2011-01-16,35
2011-01-23,36
2011-01-30,42
2011-02-06,36
2011-02-13,35
2011-02-20,25
2011-02-27,43
2011-03-06,28
2011-03-13,39
2011-03-20,46
2011-03-27,21
2011-04-03,25
2011-04-10,34
2011-04-17,17
2011-04-24,22
2011-05-01,30
2011-05-08,39
2011-05-15,31
2011-05-22,19
2011-05-29,37
2011-06-05,22
2011-06-12,38
2011-06-19,22
2011-06-26,21
2011-07-03,23
2011-07-10,44
2011-07-17,11
2011-07-24,34
2011-07-31,18
2011-08-07,22
2011-08-14,10
2011-08-21,14
2011-08-28,14
2011-09-04,22
2011-09-11,13
2011-09-18,12
2011-09-25,27
2011-10-02,17
2011-10-09,11
2011-10-16,7
2011-10-23,17
2011-10-30,19
2011-11-06,17
2011-11-13,23
2011-11-20,20
2011-11-27,25
2011-12-04,12
2011-12-11,17
2011-12-18,20
2011-12-25,25
2012-01-01,40
2012-01-08,27
2012-01-15,28
2012-01-22,35
2012-01-29,39
2012-02-05,33
2012-02-12,33
2012-02-19,32
2012-02-26,36
2012-03-04,33
2012-03-11,35
2012-03-18,32
2012-03-25,41
2012-04-01,38
2012-04-08,27
2012-04-15,32
2012-04-22,19
2012-04-29,18
2012-05-06,15
2012-05-13,19
2012-05-20,17
2012-05-27,9
2012-06-03,18
2012-06-10,18
2012-06-17,10
2012-06-24,14
2012-07-01,140
2012-07-08,11
2012-07-15,13
2012-07-22,39
2012-07-29,16
2012-08-05,39
2012-08-12,11
2012-08-19,25
