week_start,episode_count
2012-08-05,1
2012-08-12,1
2012-11-04,1
2012-11-11,1
2012-11-18,3
2013-02-03,2
2013-02-10,2
2013-02-17,2
2013-02-24,2
2013-03-03,3
2013-03-24,1
2013-04-07,1
2013-05-12,2
2013-05-19,2
2013-05-26,2
2013-06-02,2
2013-06-09,2
2013-06-30,2
2013-07-07,2
2013-07-14,2
2013-07-21,2
2013-07-28,2
2013-09-01,2
2013-09-08,2
2013-09-15,4
2013-09-22,2
2013-10-06,2
2013-10-13,2
2013-10-27,2
2013-11-10,3
2013-11-17,3
2013-11-24,2
2013-12-15,1
2014-01-05,1
2014-01-19,2
2014-02-09,1
2014-02-23,2
2014-03-02,2
2014-03-23,2
2014-06-22,1
2014-08-24,1
2014-08-31,2
2015-01-04,3
2015-01-11,2
2015-01-18,2
2015-01-25,2
2015-02-01,2
2015-02-15,2
2015-03-08,1
2015-04-12,1
2015-10-25,1
2015-11-08,1
2016-01-03,1
2016-03-20,4
2016-03-27,2
2016-04-03,7
2016-04-10,2
2016-04-17,2
2016-05-22,1
2016-06-19,1
2016-07-03,1
2016-07-17,2
2016-07-24,1
2016-08-14,3
2016-08-21,1
2016-08-28,1
2016-09-04,2
2016-09-11,2
2016-09-18,2
2016-09-25,2
2016-10-09,3
2016-10-16,2
2016-10-23,8
2016-10-30,2
2016-11-06,1
2016-11-13,2
2016-11-27,2
2016-12-04,1
2016-12-11,2
2016-12-18,1
2016-12-25,5
2017-01-15,1
2017-01-22,1
2017-02-12,1
2017-02-19,1
2017-03-05,1
2017-03-12,1
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-16,5
2017-04-23,1
2017-04-30,1
2017-05-07,2
2017-06-04,1
2017-06-11,1
2017-07-02,1
2017-07-16,1
2017-08-20,1
2017-09-03,1
2017-09-10,3
2017-10-01,1
2017-10-08,1
2017-10-15,1
2017-10-22,2
2017-10-29,1
2017-11-05,2
2017-11-12,2
2017-11-19,1
2017-12-10,1
2017-12-24,2
2018-01-07,3
2018-01-14,6
2018-01-21,5
2018-01-28,5
2018-02-04,5
2018-02-11,9
2018-02-18,6
2018-02-25,6
2018-03-04,6
2018-03-11,10
2018-03-18,5
2018-03-25,5
2018-04-01,6
2018-04-08,2
2018-04-15,2
2018-04-22,1
2018-05-20,5
2018-05-27,3
2018-06-10,2
2018-06-17,3
2018-06-24,1
2018-07-01,6
2018-07-15,1
2018-07-29,2
2018-08-05,1
2018-08-12,2
2018-08-19,1
2018-08-26,1
2018-09-02,2
2018-09-09,2
2018-09-16,3
2018-09-23,2
2018-09-30,7
2018-10-07,4
2018-10-14,6
2018-10-21,7
2018-10-28,2
2018-11-04,3
2018-11-11,3
2018-11-18,2
2018-11-25,30
2018-12-02,19
2018-12-09,9
2018-12-16,10
2018-12-23,7
2018-12-30,2
2019-01-06,20
2019-01-13,4
2019-01-20,10
2019-01-27,26
2019-02-03,29
2019-02-10,16
2019-02-17,11
2019-02-24,19
2019-03-03,14
2019-03-10,2
2019-03-17,6
2019-03-24,9
2019-03-31,10
2019-04-07,9
2019-04-14,13
2019-04-21,12
2019-04-28,12
2019-05-05,4
2019-05-12,7
2019-05-19,2
2019-05-26,6
2019-06-02,2
2019-06-09,3
2019-06-16,3
2019-06-23,3
2019-06-30,2
2019-07-07,1
2019-07-14,3
2019-07-21,6
2019-07-28,8
2019-08-04,9
2019-08-11,6
2019-08-18,8
2019-08-25,8
2019-09-01,5
2019-09-08,5
2019-09-15,7
2019-09-22,3
2019-09-29,5
2019-10-06,8
2019-10-13,9
2019-10-20,6
2019-10-27,15
2019-11-03,8
2019-11-10,10
2019-11-17,4
2019-11-24,3
2019-12-01,3
2019-12-08,5
2019-12-15,6
2019-12-22,7
2019-12-29,4
2020-01-05,12
2020-01-12,8
2020-01-19,17
2020-01-26,21
2020-02-02,19
2020-02-09,16
2020-02-16,17
2020-02-23,14
2020-03-01,22
2020-03-08,14
2020-03-15,11
2020-03-22,22
2020-03-29,15
2020-04-05,12
2020-04-12,21
2020-04-19,9
2020-04-26,14
2020-05-03,14
2020-05-10,12
2020-05-17,13
2020-05-24,13
2020-05-31,16
2020-06-07,11
2020-06-14,12
2020-06-21,6
2020-06-28,7
2020-07-05,13
2020-07-12,11
2020-07-19,5
2020-07-26,10
2020-08-02,8
2020-08-09,10
2020-08-16,9
2020-08-23,14
2020-08-30,9
2020-09-06,11
2020-09-13,7
2020-09-20,7
2020-09-27,8
2020-10-04,16
2020-10-11,11
2020-10-18,8
2020-10-25,12
2020-11-01,7
2020-11-08,28
2020-11-15,13
2020-11-22,8
2020-11-29,10
2020-12-06,10
2020-12-13,22
2020-12-20,11
2020-12-27,10
2021-01-03,6
2021-01-10,10
2021-01-17,37
2021-01-24,13
2021-01-31,10
2021-02-07,13
2021-02-14,30
2021-02-21,16
2021-02-28,15
2021-03-07,18
2021-03-14,14
2021-03-21,32
2021-03-28,34
2021-04-04,15
2021-04-11,17
