week_start,episode_count
2007-12-30,11
2008-01-06,21
2008-01-13,34
2008-01-20,37
2008-01-27,36
2008-02-03,31
2008-02-10,34
2008-02-17,33
2008-02-24,37
2008-03-02,36
2008-03-09,48
2008-03-16,48
2008-03-23,44
2008-03-30,35
2008-04-06,51
2008-04-13,41
2008-04-20,21
2008-04-27,34
2008-05-04,50
2008-05-11,41
2008-05-18,43
2008-05-25,50
2008-06-01,60
2008-06-08,44
2008-06-15,37
2008-06-22,42
2008-06-29,35
2008-07-06,38
2008-07-13,40
2008-07-20,36
2008-07-27,52
2008-08-03,44
2008-08-10,65
2008-08-17,67
2008-08-24,76
2008-08-31,99
2008-09-07,64
2008-09-14,57
2008-09-21,91
2008-09-28,84
2008-10-05,71
2008-10-12,60
2008-10-19,49
2008-10-26,71
2008-11-02,61
2008-11-09,92
2008-11-16,94
2008-11-23,111
2008-11-30,98
2008-12-07,159
2008-12-14,99
2008-12-21,90
2008-12-28,73
2009-01-04,103
2009-01-11,93
2009-01-18,64
2009-01-25,88
2009-02-01,74
2009-02-08,87
2009-02-15,63
2009-02-22,64
2009-03-01,58
2009-03-08,87
2009-03-15,49
2009-03-22,78
2009-03-29,75
2009-04-05,64
2009-04-12,63
2009-04-19,69
2009-04-26,86
2009-05-03,67
2009-05-10,69
2009-05-17,102
2009-05-24,117
2009-05-31,91
2009-06-07,78
2009-06-14,64
2009-06-21,79
2009-06-28,66
2009-07-05,90
2009-07-12,76
2009-07-19,99
2009-07-26,55
2009-08-02,79
2009-08-09,59
2009-08-16,73
2009-08-23,155
2009-08-30,113
2009-09-06,93
2009-09-13,74
2009-09-20,142
2009-09-27,68
2009-10-04,76
2009-10-11,63
2009-10-18,66
2009-10-25,63
2009-11-01,83
2009-11-08,97
2009-11-15,95
2009-11-22,90
2009-11-29,83
2009-12-06,126
2009-12-13,118
2009-12-20,84
2009-12-27,88
2010-01-03,136
2010-01-10,163
2010-01-17,119
2010-01-24,123
2010-01-31,108
2010-02-07,114
2010-02-14,95
2010-02-21,157
2010-02-28,93
2010-03-07,100
2010-03-14,105
2010-03-21,107
2010-03-28,136
2010-04-04,109
2010-04-11,136
2010-04-18,112
2010-04-25,175
2010-05-02,114
2010-05-09,203
2010-05-16,180
2010-05-23,174
2010-05-30,152
2010-06-06,141
2010-06-13,154
2010-06-20,110
2010-06-27,179
2010-07-04,138
2010-07-11,165
